video_id,query_type,type,query,description_ko
-IiTYqQKXlg,sentence,good,neatly arranging pink polka-dot accessories,분홍색 도트 소품을 정갈하게 정리하는 장면을 정확히 묘사해 높은 매칭이 예상됩니다.
-IiTYqQKXlg,sentence,good,building colorful block pixel art with a child,아이와 함께 블록을 쌓는 긴 구간을 잘 요약합니다.
-IiTYqQKXlg,sentence,bad,nighttime street race with cars drifting,영상에 경주나 차량 주행이 없어 일치율이 낮습니다.
-IiTYqQKXlg,sentence,bad,cooking soup in a kitchen,조리 장면이 전혀 등장하지 않습니다.
1zjizzVY_H4,sentence,good,showcasing the exterior of a white Ford pickup truck,트럭 외관 소개 구간과 정확히 겹칩니다.
1zjizzVY_H4,sentence,good,close-up of a car dashboard and instrument cluster,계기판 근접 촬영 노드를 잘 설명합니다.
1zjizzVY_H4,sentence,bad,sports car drifting on a race circuit,레이스나 드리프트 장면이 없어 부적절합니다.
1zjizzVY_H4,sentence,bad,folding third-row seats inside an SUV,실내 좌석 기능 소개가 없습니다.
-powI0eeLbw,sentence,good,cartoon witch and skeleton singing a spooky song,마녀와 해골이 노래하는 애니메이션을 그대로 담습니다.
-powI0eeLbw,sentence,good,ghost dancing beside a flickering candle,촛불 옆 유령 춤 장면과 일치합니다.
-powI0eeLbw,sentence,bad,live-action actor carving a pumpkin,실사 장면이 없어 매칭이 불가합니다.
-powI0eeLbw,sentence,bad,daytime beach party scene,분위기와 배경이 완전히 다릅니다.
15GCaMdApS4,sentence,good,financial expert in a suit giving an education speech,금융 교육 연설을 하는 장면을 정확히 지칭합니다.
15GCaMdApS4,sentence,good,graph of China’s economy impacting trucking,중국 경제 그래프 설명 구간을 담습니다.
15GCaMdApS4,sentence,bad,cooking show demonstrating a recipe,요리 관련 내용이 없습니다.
15GCaMdApS4,sentence,bad,cartoon ghost special,금융 발표 영상과 무관합니다.
1Gf2W3eYP28,sentence,good,TOHFA TV logo with Tamil introduction,로고와 타밀어 소개 구간을 정확히 표현합니다.
1Gf2W3eYP28,sentence,good,host in yellow saree interviewing a man in a suit,노란 사리를 입은 진행자 인터뷰 장면을 잘 요약합니다.
1Gf2W3eYP28,sentence,bad,soccer match highlight,스포츠 중계가 없어 일치하지 않습니다.
1Gf2W3eYP28,sentence,bad,kitchen cooking lesson,스튜디오 인터뷰 중심이라 요리 장면이 없습니다.
2Vh-xCGMLzg,sentence,good,chef carefully slicing raw fish,셰프가 생선을 써는 장면과 겹칩니다.
2Vh-xCGMLzg,sentence,good,couple toasting over a seafood course,커플이 건배하는 장면을 정확히 표현합니다.
2Vh-xCGMLzg,sentence,bad,sunny beach picnic,실내 레스토랑 분위기라 맞지 않습니다.
2Vh-xCGMLzg,sentence,bad,indoor basketball game footage,스포츠 장면이 없어 낮은 점수가 예상됩니다.
2lJMU_78m7A,sentence,good,number 19 race car speeding around the track,19번 차량 주행 장면을 그대로 묘사합니다.
2lJMU_78m7A,sentence,good,crowd waving flags and cheering at the race,관중 환호 클로즈업과 일치합니다.
2lJMU_78m7A,sentence,bad,pit stop tire change,피트 스톱 장면이 없습니다.
2lJMU_78m7A,sentence,bad,award ceremony trophy presentation,시상식 장면이 없어 일치하지 않습니다.
9AffWPWL9RM,sentence,good,motorcycle free-roaming gameplay,오토바이 주행 구간과 정확히 맞습니다.
9AffWPWL9RM,sentence,good,first-person shooter aiming on red checkered floor,붉은 바닥 실내 FPS 장면을 잘 요약합니다.
9AffWPWL9RM,sentence,bad,block puzzle mini-game,퍼즐 요소가 없어 매칭이 불가능합니다.
9AffWPWL9RM,sentence,bad,cooking simulator chopping ingredients,요리 요소가 전혀 없습니다.
yCW_-SuVWGo,sentence,good,TV Guide opening title with male announcer,오프닝 타이틀 장면과 일치합니다.
yCW_-SuVWGo,sentence,good,female reporter interviewing guests on a MySpace red carpet,레드카펫 인터뷰 구간에 정확히 대응합니다.
yCW_-SuVWGo,sentence,bad,rock band concert performance,공연 장면이 없어 부적절합니다.
yCW_-SuVWGo,sentence,bad,animated comedy skit,실사 인터뷰 중심이라 일치하지 않습니다.
-QEfaBLGPQk,sentence,good,electric guitar solo under blue stage lights,초반 기타 솔로를 정확히 묘사합니다.
-QEfaBLGPQk,sentence,good,high-energy pop band performance with purple lighting,보라색 조명 속 밴드 공연과 맞닿습니다.
-QEfaBLGPQk,sentence,bad,quiet acoustic interview,공연 위주라 조용한 인터뷰와 맞지 않습니다.
-QEfaBLGPQk,sentence,bad,soccer goal highlight,스포츠 장면이 없어 불일치합니다.
-eoe6CBR1wE,sentence,good,SABBATICAL VEGAS title card close-up,타이틀 클로즈업 장면을 직접적으로 설명합니다.
-eoe6CBR1wE,sentence,good,women enjoying food and cocktails at a Vegas gathering,식사·칵테일 모임 구간과 일치합니다.
-eoe6CBR1wE,sentence,bad,casino slot machine gameplay,슬롯머신 장면이 없어 낮은 점수를 받습니다.
-eoe6CBR1wE,sentence,bad,helicopter desert tour adventure,해당 액티비티가 등장하지 않습니다.
1sM9Qs-0Vdk,sentence,good,child excitedly showing a Munchables snack box,스낵 박스를 소개하는 핵심 노드를 묘사합니다.
1sM9Qs-0Vdk,sentence,good,opening My Little Pony treats at the kitchen table,부엌 식탁에서 간식을 여는 장면과 맞습니다.
1sM9Qs-0Vdk,sentence,bad,pickup truck test drive review,차량 리뷰 내용이 없어 잘못된 질의입니다.
1sM9Qs-0Vdk,sentence,bad,outdoor soccer practice,실내 간식 콘텐츠와 무관합니다.
-IiTYqQKXlg,word,good,crafting,분홍색 소품을 정리하며 공예 활동을 하는 장면과 잘 맞습니다.
-IiTYqQKXlg,word,good,blocks,컬러 블록을 쌓는 노드를 정확히 가리켜 높은 점수를 기대할 수 있습니다.
-IiTYqQKXlg,word,bad,racing,레이싱 장면이 없어 해당 단어로는 매칭이 어렵습니다.
-IiTYqQKXlg,word,bad,soup,요리나 수프 관련 장면이 전혀 등장하지 않습니다.
1zjizzVY_H4,word,good,pickup,흰색 픽업트럭 외관을 계속 소개하므로 잘 매칭됩니다.
1zjizzVY_H4,word,good,dashboard,계기판과 게이지를 보여주는 구간과 일치합니다.
1zjizzVY_H4,word,bad,drift,드리프트 주행이 없어 낮은 점수를 받을 것입니다.
1zjizzVY_H4,word,bad,seats,실내 좌석 기능 설명이 없어 부적합합니다.
-powI0eeLbw,word,good,witch,마녀 캐릭터가 노래하는 애니메이션을 정확히 지칭합니다.
-powI0eeLbw,word,good,ghost,유령이 춤추는 장면과 잘 맞습니다.
-powI0eeLbw,word,bad,actor,실사 배우가 등장하지 않아 일치하지 않습니다.
-powI0eeLbw,word,bad,beach,해변이나 야외 낮 장면이 없어 부적절합니다.
15GCaMdApS4,word,good,finance,금융 교육 발표 장면과 직접 연결됩니다.
15GCaMdApS4,word,good,graph,중국 경제 그래프를 설명하는 노드를 잘 포착합니다.
15GCaMdApS4,word,bad,recipe,요리 시연이 없어 해당 단어는 매칭되지 않습니다.
15GCaMdApS4,word,bad,ghost,콘텐츠가 경제 발표라 유령과는 무관합니다.
1Gf2W3eYP28,word,good,Tamil,타밀어로 진행하는 오프닝 멘트를 잘 나타냅니다.
1Gf2W3eYP28,word,good,interview,여러 인터뷰 장면과 일치해 높은 점수가 예상됩니다.
1Gf2W3eYP28,word,bad,soccer,축구 하이라이트가 없어 매칭이 불가합니다.
1Gf2W3eYP28,word,bad,kitchen,주방 배경이 없어 부적절합니다.
2Vh-xCGMLzg,word,good,sashimi,셰프가 생선을 써는 장면과 자연스럽게 연결됩니다.
2Vh-xCGMLzg,word,good,toast,커플이 건배하는 장면에 잘 매칭됩니다.
2Vh-xCGMLzg,word,bad,beach,야외 해변 장면이 없어 일치하지 않습니다.
2Vh-xCGMLzg,word,bad,basketball,농구 경기 화면이 없어 낮은 점수를 받습니다.
2lJMU_78m7A,word,good,racecar,19번 레이스카 주행 장면과 정확히 맞습니다.
2lJMU_78m7A,word,good,crowd,관중이 환호하는 구간과 잘 매칭됩니다.
2lJMU_78m7A,word,bad,pitstop,피트 스톱 장면이 없어 부적절합니다.
2lJMU_78m7A,word,bad,trophy,시상식이 없어 트로피 관련 질의는 맞지 않습니다.
9AffWPWL9RM,word,good,motorcycle,오토바이로 질주하는 구간을 잘 설명합니다.
9AffWPWL9RM,word,good,shooter,실내 1인칭 사격 장면과 일치합니다.
9AffWPWL9RM,word,bad,puzzle,블록 퍼즐 요소가 없어 매칭이 안 됩니다.
9AffWPWL9RM,word,bad,cooking,요리 관련 장면이 전혀 없습니다.
yCW_-SuVWGo,word,good,TVGuide,TV Guide 오프닝 타이틀과 일치합니다.
yCW_-SuVWGo,word,good,redcarpet,레드카펫 인터뷰 장면과 잘 맞습니다.
yCW_-SuVWGo,word,bad,concert,밴드 공연이 없어 낮은 점수가 예상됩니다.
yCW_-SuVWGo,word,bad,cartoon,애니메이션 요소가 없어 부적절합니다.
-QEfaBLGPQk,word,good,guitar,초반 일렉 기타 솔로를 정확히 나타냅니다.
-QEfaBLGPQk,word,good,concert,고에너지 밴드 공연 장면과 매칭됩니다.
-QEfaBLGPQk,word,bad,interview,조용한 인터뷰가 없어 맞지 않습니다.
-QEfaBLGPQk,word,bad,soccer,축구 장면이 없어 낮은 점수를 받습니다.
-eoe6CBR1wE,word,good,sabbatical,오프닝 타이틀과 브이로그 주제를 바로 가리킵니다.
-eoe6CBR1wE,word,good,cocktails,여성들이 모여 음식과 칵테일을 즐기는 장면과 일치합니다.
-eoe6CBR1wE,word,bad,casino,슬롯머신 장면이 없어 매칭되지 않습니다.
